Date Confirmed Deaths Recovered Active
2020-04-04 0 0 0 0
2020-04-05 1 0 0 1
2020-04-06 1 0 0 1
2020-04-07 2 0 0 2
2020-04-08 2 0 0 2
2020-04-09 3 0 0 3
2020-04-10 4 0 0 4
2020-04-11 4 0 0 4
2020-04-12 4 0 0 4
2020-04-13 4 0 0 4
2020-04-14 4 0 0 4
2020-04-15 4 0 0 4
2020-04-16 4 0 0 4
2020-04-17 4 0 0 4
2020-04-18 4 0 0 4
2020-04-19 4 0 0 4
2020-04-20 4 0 0 4
2020-04-21 4 0 0 4
2020-04-22 4 0 0 4
2020-04-23 5 0 0 5
2020-04-24 5 0 0 5
2020-04-25 5 0 0 5
2020-04-26 6 0 0 6
2020-04-27 6 0 0 6
2020-04-28 34 0 0 34
2020-04-29 34 0 0 34
2020-04-30 35 0 0 35
2020-05-01 45 0 0 45
2020-05-02 45 0 0 45
2020-05-03 46 0 0 46
2020-05-04 46 0 0 46
2020-05-05 52 0 0 52
2020-05-06 58 0 0 58
2020-05-07 74 0 0 74
2020-05-08 120 0 2 118
2020-05-09 120 0 2 118
2020-05-10 120 0 2 118
2020-05-11 156 0 2 154
2020-05-12 194 0 2 192
2020-05-13 203 0 2 201
2020-05-14 203 0 3 200
2020-05-15 236 4 4 228
2020-05-16 236 4 4 228
2020-05-17 290 4 4 282
2020-05-18 290 4 4 282
2020-05-19 290 4 4 282
2020-05-20 290 4 4 282
2020-05-21 481 4 4 473
2020-05-22 563 6 6 551
2020-05-23 655 8 6 641
2020-05-24 655 8 6 641
2020-05-25 806 8 6 792
2020-05-26 806 8 6 792
2020-05-27 994 10 6 978
2020-05-28 994 10 6 978
2020-05-29 994 10 6 978
2020-05-30 994 10 6 978
2020-05-31 994 10 6 978
2020-06-01 994 10 6 978
2020-06-02 994 10 6 978
2020-06-03 994 10 6 978
2020-06-04 994 10 6 978
2020-06-05 994 10 6 978
2020-06-06 994 10 6 978
2020-06-07 1317 14 6 1297
2020-06-08 1604 19 15 1570
2020-06-09 1604 19 15 1570
2020-06-10 1604 19 15 1570
2020-06-11 1670 24 48 1598
2020-06-12 1670 24 48 1598
2020-06-13 1693 27 49 1617
2020-06-14 1693 27 49 1617
2020-06-15 1693 27 49 1617
2020-06-16 1776 30 58 1688
2020-06-17 1813 31 89 1693
2020-06-18 1830 32 117 1681
2020-06-19 1864 34 122 1708
2020-06-20 1882 34 122 1726
2020-06-21 1892 34 169 1689
2020-06-22 1916 35 190 1691
2020-06-23 1930 36 217 1677
2020-06-24 1942 36 224 1682
2020-06-25 1942 36 224 1682
2020-06-26 1942 36 224 1682
2020-06-27 1942 36 224 1682
2020-06-28 1989 36 246 1707
2020-06-29 1989 36 246 1707
2020-06-30 2007 38 279 1690
2020-07-01 2021 38 333 1650
2020-07-02 2021 38 333 1650
2020-07-03 2021 38 333 1650
2020-07-04 2021 38 333 1650
2020-07-05 2021 38 333 1650
2020-07-06 2021 38 333 1650
2020-07-07 2021 38 333 1650
2020-07-08 2021 38 333 1650
2020-07-09 2021 38 333 1650
2020-07-10 2021 38 333 1650
2020-07-11 2021 38 333 1650
2020-07-12 2021 38 333 1650
2020-07-13 2148 41 333 1774
2020-07-14 2148 41 333 1774
2020-07-15 2153 41 1175 937
2020-07-16 2171 41 1175 955
2020-07-17 2191 43 1175 973
2020-07-18 2191 43 1175 973
2020-07-19 2200 43 1175 982
2020-07-20 2211 45 1175 991
2020-07-21 2211 45 1175 991
2020-07-22 2211 45 1175 991
2020-07-23 2239 45 1175 1019
2020-07-24 2258 45 1175 1038
2020-07-25 2258 45 1175 1038
2020-07-26 2262 45 1175 1042
2020-07-27 2305 46 1175 1084
2020-07-28 2305 46 1175 1084
2020-07-29 2322 46 1175 1101
2020-07-30 2322 46 1175 1101
2020-07-31 2322 46 1175 1101
2020-08-01 2352 46 1175 1131
2020-08-02 2429 46 1175 1208
2020-08-03 2429 46 1175 1208
2020-08-04 2437 47 1175 1215
2020-08-05 2437 47 1175 1215
2020-08-06 2450 47 1175 1228
2020-08-07 2450 47 1175 1228
2020-08-08 2463 47 1175 1241
2020-08-09 2470 47 1175 1248
2020-08-10 2470 47 1175 1248
2020-08-11 2472 47 1175 1250
2020-08-12 2477 47 1175 1255
2020-08-13 2478 47 1175 1256
2020-08-14 2482 47 1175 1260
2020-08-15 2488 47 1175 1266
2020-08-16 2489 47 1175 1267
2020-08-17 2490 47 1175 1268
2020-08-18 2490 47 1175 1268
2020-08-19 2494 47 1290 1157
2020-08-20 2494 47 1290 1157
2020-08-21 2497 47 1290 1160
2020-08-22 2497 47 1290 1160
2020-08-23 2499 47 1290 1162
2020-08-24 2504 47 1290 1167
2020-08-25 2507 47 1290 1170
2020-08-26 2510 47 1290 1173
2020-08-27 2514 47 1290 1177
2020-08-28 2518 47 1290 1181
2020-08-29 2519 47 1290 1182
2020-08-30 2519 47 1290 1182
2020-08-31 2527 47 1290 1190
2020-09-01 2527 47 1290 1190
2020-09-02 2532 47 1290 1195
2020-09-03 2533 47 1290 1196
2020-09-04 2536 47 1290 1199
2020-09-05 2544 48 1290 1206
2020-09-06 2544 48 1290 1206
2020-09-07 2545 48 1290 1207
2020-09-08 2552 49 1290 1213
2020-09-09 2555 49 1290 1216
2020-09-10 2555 49 1290 1216
2020-09-11 2568 49 1290 1229
2020-09-12 2578 49 1290 1239
2020-09-13 2578 49 1290 1239
2020-09-14 2587 49 1290 1248
2020-09-15 2592 49 1290 1253
2020-09-16 2594 49 1290 1255
2020-09-17 2599 49 1290 1260
2020-09-18 2609 49 1290 1270
2020-09-19 2642 49 1290 1303
2020-09-20 2642 49 1290 1303
2020-09-21 2649 49 1290 1310
2020-09-22 2660 49 1290 1321
2020-09-23 2664 49 1290 1325
2020-09-24 2669 49 1290 1330
2020-09-25 2676 49 1290 1337
2020-09-26 2676 49 1290 1337
2020-09-27 2686 49 1290 1347
2020-09-28 2692 49 1290 1353
2020-09-29 2700 49 1290 1361
2020-09-30 2704 49 1290 1365
2020-10-01 2704 49 1290 1365
2020-10-02 2715 50 1290 1375
2020-10-03 2715 50 1290 1375
2020-10-04 2726 50 1290 1386
2020-10-05 2726 50 1290 1386
2020-10-06 2734 50 1290 1394
2020-10-07 2748 50 1290 1408
2020-10-08 2749 53 1290 1406
2020-10-09 2761 54 1290 1417
2020-10-10 2761 54 1290 1417
2020-10-11 2777 55 1290 1432
2020-10-12 2787 55 1290 1442
2020-10-13 2798 55 1290 1453
2020-10-14 2798 55 1290 1453
2020-10-15 2807 55 1290 1462
2020-10-16 2817 55 1290 1472
2020-10-17 2817 55 1290 1472
2020-10-18 2842 55 1290 1497
2020-10-19 2847 55 1290 1502
2020-10-20 2847 55 1290 1502
2020-10-21 2870 55 1290 1525
2020-10-22 2872 55 1290 1527
2020-10-23 2876 56 1290 1530
2020-10-24 2878 56 1290 1532
2020-10-25 2883 56 1290 1537
2020-10-26 2883 56 1290 1537
2020-10-27 2890 56 1290 1544
2020-10-28 2890 56 1290 1544
2020-10-29 2903 58 1290 1555
2020-10-30 2903 58 1290 1555
2020-10-31 2905 58 1290 1557
2020-11-01 2926 59 1290 1577
2020-11-02 2926 59 1290 1577
2020-11-03 2940 59 1290 1591
2020-11-04 2943 59 1290 1594
2020-11-05 2943 59 1290 1594
2020-11-06 2943 59 1290 1594
2020-11-07 2943 59 1290 1594
2020-11-08 2943 59 1290 1594
2020-11-09 2960 59 1290 1611
2020-11-10 2960 59 1290 1611
2020-11-11 2960 59 1290 1611
2020-11-12 2960 59 1290 1611
2020-11-13 2980 59 1290 1631
2020-11-14 3003 59 1290 1654
2020-11-15 3003 59 1290 1654
2020-11-16 3012 59 1290 1663
2020-11-17 3016 59 1290 1667
2020-11-18 3016 59 1290 1667
2020-11-19 3016 59 1290 1667
2020-11-20 3016 59 1290 1667
2020-11-21 3047 60 1290 1697
2020-11-22 3047 60 1290 1697
2020-11-23 3047 60 1290 1697
2020-11-24 3047 60 1290 1697
2020-11-25 3073 61 2938 74
2020-11-26 3092 61 2949 82
2020-11-27 3104 61 2954 89
2020-11-28 3104 61 2954 89
2020-11-29 3109 61 2954 94
2020-11-30 3109 61 2954 94
2020-12-01 3111 61 2954 96
2020-12-02 3118 61 2966 91
